nome,link
RD_DISP_DESPACHO_HORARIO_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_despacho_horario_sandbox
CCC_CTG_USINA_CCESI,https://dadosabertos.ccee.org.br/dataset/ccc_ctg_usina_ccesi
CCC_CTG_BENEFICIARIO,https://dadosabertos.ccee.org.br/dataset/ccc_ctg_beneficiario
RD_DISP_ENCARGO_HORARIO_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_encargo_horario_sandbox
RD_DISP_ENCARGO_PERFIL_MENSAL_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_encargo_perfil_mensal_sandbox
RD_DISP_ENCARGO_TOTAL_MENSAL_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_encargo_total_mensal_sandbox
RD_DISP_RECEITA_PENALIDADE_MENSAL_SANDBOX,https://dadosabertos.ccee.org.br/dataset/rd_disp_receita_penalidade_mensal_sandbox
CCC_CTG_USINA,https://dadosabertos.ccee.org.br/dataset/ccc_ctg_usina
RESERVA_PENALIDADE,https://dadosabertos.ccee.org.br/dataset/reserva_penalidade
SAZONALIZACAO_CCGF,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_ccgf
SAZONALIZACAO_CONTRATO_CCEARQ,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_contrato_ccearq
SAZONALIZACAO_MRE_GF_FATOR_AJUSTE,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_mre_gf_fator_ajuste
SAZONALIZACAO_MRE_GF_MOTORIZACAO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/sazonalizacao_mre_gf_motorizacao_submercado
FATOR_AJUSTE_GF,https://dadosabertos.ccee.org.br/dataset/fator_ajuste_gf
